ID,Mã món ăn,Mã nhóm món ăn,Tên món ăn,Nhóm món ăn
1,CANH_BAU_001,CANH_BAU,Canh bầu,MÓN CANH
2,CANH_BAU_002,CANH_BAU,Canh bầu nấu tôm,MÓN CANH
3,CANH_BI_001,CANH_BI,Canh bí đỏ,MÓN CANH
4,CANH_BI_002,CANH_BI,Canh bí đỏ hầm xương,MÓN CANH
5,CANH_BI_003,CANH_BI,Canh bí xanh,MÓN CANH
6,CANH_BI_004,CANH_BI,Canh bí xanh dồn thịt,MÓN CANH
7,CANH_CACHUA_001,CANH_CACHUA,Canh cà chua,MÓN CANH
8,CANH_CACHUA_002,CANH_CACHUA,Canh cà chua thịt bằm,MÓN CANH
9,CANH_CACHUA_003,CANH_CACHUA,Canh cà chua trứng,MÓN CANH
10,CANH_CAI_001,CANH_CAI,Canh bắp cải thịt bằm,MÓN CANH
11,CANH_CAI_002,CANH_CAI,Canh cải cúc,MÓN CANH
12,CANH_CAI_003,CANH_CAI,Canh cải ngọt,MÓN CANH
13,CANH_CAI_004,CANH_CAI,Canh cải thảo,MÓN CANH
14,CANH_CAI_005,CANH_CAI,Canh cải xanh,MÓN CANH
15,CANH_CAI_006,CANH_CAI,Canh cải xanh nấu mọc,MÓN CANH
16,CANH_CANHCHUA_001,CANH_CANHCHUA,Canh chua muống,MÓN CANH
17,CANH_CANHCHUA_002,CANH_CANHCHUA,Canh chua nấu nghêu,MÓN CANH
18,CANH_CANHCHUA_003,CANH_CANHCHUA,Canh chua thập cẩm,MÓN CANH
19,CANH_DAUHU_001,CANH_DAUHU,Canh đậu hũ hẹ,MÓN CANH
20,CANH_DAUHU_002,CANH_DAUHU,Canh đậu hũ kim chi,MÓN CANH
21,CANH_DAUHU_003,CANH_DAUHU,Canh kim chi đậu hũ,MÓN CANH
22,CANH_DUACHUA_001,CANH_DUACHUA,Canh dưa chua gân bò,MÓN CANH
23,CANH_DUDU_001,CANH_DUDU,Canh đu đủ,MÓN CANH
24,CANH_KHOAI_001,CANH_KHOAI,Canh khoai mỡ,MÓN CANH
25,CANH_KHOAI_002,CANH_KHOAI,Canh khoai mỡ nấu tôm,MÓN CANH
26,CANH_KHOQUA_001,CANH_KHOQUA,Canh khổ qua dồn thịt,MÓN CANH
27,CANH_KHOQUA_002,CANH_KHOQUA,Canh khổ qua thịt bằm,MÓN CANH
28,CANH_LAGIANG_001,CANH_LAGIANG,Canh lá giang,MÓN CANH
29,CANH_MIENMANG_001,CANH_MIENMANG,Canh miến măng,MÓN CANH
30,CANH_RAU_001,CANH_RAU,Canh mồng tơi,MÓN CANH
31,CANH_RAU_002,CANH_RAU,Canh mồng tơi cua,MÓN CANH
32,CANH_RAU_003,CANH_RAU,Canh mồng tơi mướp,MÓN CANH
33,CANH_RAU_004,CANH_RAU,Canh rau dền,MÓN CANH
34,CANH_RAU_005,CANH_RAU,Canh rau dền cua đồng,MÓN CANH
35,CANH_RAU_006,CANH_RAU,Canh rau má,MÓN CANH
36,CANH_RAU_007,CANH_RAU,Canh rau ngót,MÓN CANH
37,CANH_RONGBIEN_001,CANH_RONGBIEN,Canh rong biển,MÓN CANH
38,CANH_SUP_001,CANH_SUP,Canh súp,MÓN CANH
39,CANH_SUP_002,CANH_SUP,Canh súp xương,MÓN CANH
40,CHAY_BANHCANH_001,CHAY_BANHCANH,Bánh canh chay,MÓN CHAY
41,CHAY_BANHUOT_001,CHAY_BANHUOT,Bánh ướt chay,MÓN CHAY
42,CHAY_BAONGU_XAO_001,CHAY_BAONGU_XAO,Bào ngư xào xả,MÓN CHAY
43,CHAY_BAPMY_XAO_001,CHAY_BAPMY_XAO,Bắp mỹ xào hành,MÓN CHAY
44,CHAY_BAU_KHO_001,CHAY_BAU_KHO,Bầu kho nấm,MÓN CHAY
45,CHAY_BI_KHO_001,CHAY_BI_KHO,Bí xanh kho tiêu,MÓN CHAY
46,CHAY_BI_KHO_002,CHAY_BI_KHO,Bí xanh kho nấm,MÓN CHAY
47,CHAY_BO_KHO_001,CHAY_BO_KHO,Bò chay kho dưa chua,MÓN CHAY
48,CHAY_BO_RIM_001,CHAY_BO_RIM,Bò viên chay rim,MÓN CHAY
49,CHAY_BO_XAO_001,CHAY_BO_XAO,Bò chay xào dưa,MÓN CHAY
50,CHAY_BO_XAO_002,CHAY_BO_XAO,Bò chay xào khổ qua,MÓN CHAY
51,CHAY_BO_XAO_003,CHAY_BO_XAO,Bò chay xào sả ớt,MÓN CHAY
52,CHAY_BO_XAO_004,CHAY_BO_XAO,Bò chay xào thập cẩm,MÓN CHAY
53,CHAY_BO_XAO_005,CHAY_BO_XAO,Bò viên chay xào sả ớt,MÓN CHAY
54,CHAY_BO_XAO_006,CHAY_BO_XAO,Bò viên chay xào sa tế,MÓN CHAY
55,CHAY_BONGCAI_KHO_001,CHAY_BONGCAI_KHO,Bông cải kho bắp non,MÓN CHAY
56,CHAY_BONGCAI_XAO_001,CHAY_BONGCAI_XAO,Bông cải xào thập cẩm,MÓN CHAY
57,CHAY_BUN_KHO_001,CHAY_BUN_KHO,Bún đậu nước tương,MÓN CHAY
58,CHAY_BUN_KHO_002,CHAY_BUN_KHO,Bún nước tương chay,MÓN CHAY
59,CHAY_BUN_NUOC_001,CHAY_BUN_NUOC,Bún riêu chay,MÓN CHAY
60,CHAY_BUN_NUOC_002,CHAY_BUN_NUOC,Bún bò chay,MÓN CHAY
61,CHAY_BUN_XAO_001,CHAY_BUN_XAO,Bún gạo xào,MÓN CHAY
62,CHAY_BUN_XAO_002,CHAY_BUN_XAO,Bún xào chay,MÓN CHAY
63,CHAY_BUN_XAO_003,CHAY_BUN_XAO,Bún gạo xào chay,MÓN CHAY
64,CHAY_CACOM_KHAC_001,CHAY_CACOM_KHAC,Cá cơm chay,MÓN CHAY
65,CHAY_CACOM_KHAC_002,CHAY_CACOM_KHAC,Cá cơm chay + nấm xào chua ngọt,MÓN CHAY
66,CHAY_CACOM_KHAC_003,CHAY_CACOM_KHAC,Cá cơm kho chay,MÓN CHAY
67,CHAY_CACOM_KHAC_004,CHAY_CACOM_KHAC,Cá cơm chay + bắp mĩ xào hành,MÓN CHAY
68,CHAY_CAI_KHO_001,CHAY_CAI_KHO,Bắp cải kho chay,MÓN CHAY
69,CHAY_CAI_XAO_001,CHAY_CAI_XAO,Cải thìa xào nấm,MÓN CHAY
70,CHAY_CAI_XAO_002,CHAY_CAI_XAO,Bắp cải xào bông cải,MÓN CHAY
71,CHAY_CAI_XAO_003,CHAY_CAI_XAO,Cải thìa xào nấm đông cô,MÓN CHAY
72,CHAY_CAI_XAO_004,CHAY_CAI_XAO,Cải xào đông cô,MÓN CHAY
73,CHAY_CAI_XAO_005,CHAY_CAI_XAO,Cải xào nấm,MÓN CHAY
74,CHAY_CARI_HAM_001,CHAY_CARI_HAM,Cà ri chay,MÓN CHAY
75,CHAY_CATIM_CHIEN_001,CHAY_CATIM_CHIEN,Cà tím lăn bột chiên xù,MÓN CHAY
76,CHAY_CATIM_KHO_001,CHAY_CATIM_KHO,Cà tím kho đậu hũ,MÓN CHAY
77,CHAY_CATIM_KHO_002,CHAY_CATIM_KHO,Cà tím kho tiêu,MÓN CHAY
78,CHAY_CATIM_SOT_001,CHAY_CATIM_SOT,Cà tím sốt nấm,MÓN CHAY
79,CHAY_CATIM_SOT_002,CHAY_CATIM_SOT,Cà tím chiên sốt tương ,MÓN CHAY
80,CHAY_CATIM_UM_001,CHAY_CATIM_UM,Cà tím um xì dầu,MÓN CHAY
81,CHAY_COM_CHIEN_001,CHAY_COM_CHIEN,Cơm chiên chay,MÓN CHAY
82,CHAY_CUCAI_KHO_001,CHAY_CUCAI_KHO,Củ cải kho chay,MÓN CHAY
83,CHAY_CHACA_RIM_001,CHAY_CHACA_RIM,Chả cá chay rim,MÓN CHAY
84,CHAY_CHAGIO_CHIEN_001,CHAY_CHAGIO_CHIEN,"Chả giò chay, đậu hũ",MÓN CHAY
85,CHAY_CHALUA_KHO_001,CHAY_CHALUA_KHO,Chả chay kho thơm,MÓN CHAY
86,CHAY_CHALUA_KHO_002,CHAY_CHALUA_KHO,Chả lụa chay kho đậu hủ,MÓN CHAY
87,CHAY_CHALUA_RIM_001,CHAY_CHALUA_RIM,Chả lụa chay rim ớt chuông,MÓN CHAY
88,CHAY_CHALUA_RIM_002,CHAY_CHALUA_RIM,Chả lụa chay rim thơm,MÓN CHAY
89,CHAY_CHALUA_RIM_003,CHAY_CHALUA_RIM,Chả lụa rim sả,MÓN CHAY
90,CHAY_CHALUA_RIM_004,CHAY_CHALUA_RIM,Chả lụa chay rim tỏi ớt,MÓN CHAY
91,CHAY_CHALUA_SOT_001,CHAY_CHALUA_SOT,Chả lụa chay sốt cà,MÓN CHAY
92,CHAY_CHUOI_KHO_001,CHAY_CHUOI_KHO,Chuối xanh kho đậu,MÓN CHAY
93,CHAY_DAUHU_CHIEN_001,CHAY_DAUHU_CHIEN,Đậu hũ chiên sả,MÓN CHAY
94,CHAY_DAUHU_CHIEN_002,CHAY_DAUHU_CHIEN,Đậu hũ chiên xù,MÓN CHAY
95,CHAY_DAUHU_CHIEN_003,CHAY_DAUHU_CHIEN,Đậu hũ dồn chay,MÓN CHAY
96,CHAY_DAUHU_CHIEN_004,CHAY_DAUHU_CHIEN,Đậu hũ muối ớt,MÓN CHAY
97,CHAY_DAUHU_CHIEN_005,CHAY_DAUHU_CHIEN,Đậu hũ muối sả,MÓN CHAY
98,CHAY_DAUHU_CHIEN_006,CHAY_DAUHU_CHIEN,Đậu hũ non chiên giòn,MÓN CHAY
99,CHAY_DAUHU_CHIEN_007,CHAY_DAUHU_CHIEN,Tàu hũ ki chiên muối ớt,MÓN CHAY
100,CHAY_DAUHU_HAP_001,CHAY_DAUHU_HAP,Đậu hũ trắng hấp nấm,MÓN CHAY
101,CHAY_DAUHU_KHO_001,CHAY_DAUHU_KHO,Đậu hũ kho tương hộp,MÓN CHAY
102,CHAY_DAUHU_KHO_002,CHAY_DAUHU_KHO,Đậu hũ kho bắp cải,MÓN CHAY
103,CHAY_DAUHU_KHO_003,CHAY_DAUHU_KHO,Đậu hũ kho bông cải,MÓN CHAY
104,CHAY_DAUHU_KHO_004,CHAY_DAUHU_KHO,Đậu hũ kho cà tím,MÓN CHAY
105,CHAY_DAUHU_KHO_005,CHAY_DAUHU_KHO,Đậu hũ kho gừng,MÓN CHAY
106,CHAY_DAUHU_KHO_006,CHAY_DAUHU_KHO,Đậu hũ kho măng,MÓN CHAY
107,CHAY_DAUHU_KHO_007,CHAY_DAUHU_KHO,Đậu hũ kho nấm + khổ qua + thơm,MÓN CHAY
108,CHAY_DAUHU_KHO_008,CHAY_DAUHU_KHO,"Đậu hũ kho nấm, thơm, khổ qua",MÓN CHAY
109,CHAY_DAUHU_KHO_009,CHAY_DAUHU_KHO,Đậu hũ kho nước tương,MÓN CHAY
110,CHAY_DAUHU_KHO_010,CHAY_DAUHU_KHO,Đậu hũ kho thơm,MÓN CHAY
111,CHAY_DAUHU_KHO_011,CHAY_DAUHU_KHO,Đậu hũ kho tiêu,MÓN CHAY
112,CHAY_DAUHU_KHO_012,CHAY_DAUHU_KHO,Đậu hũ kho tương hột,MÓN CHAY
113,CHAY_DAUHU_KHO_013,CHAY_DAUHU_KHO,"Đậu hũ kho thơm, khổ qua",MÓN CHAY
114,CHAY_DAUHU_KHO_014,CHAY_DAUHU_KHO,"Đậu hũ kho thơm, nấm, khổ qua",MÓN CHAY
115,CHAY_DAUHU_OM_001,CHAY_DAUHU_OM,Đậu hũ om kim châm,MÓN CHAY
116,CHAY_DAUHU_RIM_001,CHAY_DAUHU_RIM,Đậu hũ rim chả lụa,MÓN CHAY
117,CHAY_DAUHU_SOT_001,CHAY_DAUHU_SOT,Tàu hũ ki sốt hành tây,MÓN CHAY
118,CHAY_DAUHU_SOT_002,CHAY_DAUHU_SOT,Đậu hũ non sốt nấm,MÓN CHAY
119,CHAY_DAUHU_SOT_003,CHAY_DAUHU_SOT,Đậu hũ non sốt cà,MÓN CHAY
120,CHAY_DAUHU_SOT_004,CHAY_DAUHU_SOT,Đậu hũ sốt cà,MÓN CHAY
121,CHAY_DAUHU_SOT_005,CHAY_DAUHU_SOT,Đậu hũ sốt cà và nấm,MÓN CHAY
122,CHAY_DAUHU_SOT_006,CHAY_DAUHU_SOT,Đậu hũ sốt chua ngọt,MÓN CHAY
123,CHAY_DAUHU_SOT_007,CHAY_DAUHU_SOT,Đậu hũ sốt nấm,MÓN CHAY
124,CHAY_DAUHU_SOT_008,CHAY_DAUHU_SOT,"Đậu hũ sốt nấm, cà chua",MÓN CHAY
125,CHAY_DAUHU_SOT_009,CHAY_DAUHU_SOT,"Đậu hũ sốt nấm, cà rốt",MÓN CHAY
126,CHAY_DAUHU_SOT_010,CHAY_DAUHU_SOT,Đậu hũ trắng sốt cà chua,MÓN CHAY
127,CHAY_DAUHU_XAO_001,CHAY_DAUHU_XAO,Tàu hũ ki xào nấm,MÓN CHAY
128,CHAY_DAUHU_XAO_002,CHAY_DAUHU_XAO,"Tàu hũ ki xào sả ớt
",MÓN CHAY
129,CHAY_DAUHU_XAO_003,CHAY_DAUHU_XAO,Đậu hũ xào bông cải,MÓN CHAY
130,CHAY_DAUHU_XAO_004,CHAY_DAUHU_XAO,Đậu hũ xào giá cải thìa,MÓN CHAY
131,CHAY_DAUHU_XAO_005,CHAY_DAUHU_XAO,Đậu hũ xào giá hẹ,MÓN CHAY
132,CHAY_DAUHU_XAO_006,CHAY_DAUHU_XAO,Đậu hũ xào giá mướp,MÓN CHAY
133,CHAY_DAUHU_XAO_007,CHAY_DAUHU_XAO,Đậu hũ xào măng,MÓN CHAY
134,CHAY_DAUHU_XAO_008,CHAY_DAUHU_XAO,Đậu hũ xào ngũ sắc,MÓN CHAY
135,CHAY_DAUHU_XAO_009,CHAY_DAUHU_XAO,Đậu hũ xào rau củ,MÓN CHAY
136,CHAY_DAUHU_XAO_010,CHAY_DAUHU_XAO,Đậu hũ xào sả ớt,MÓN CHAY
137,CHAY_DAUHU_XAO_011,CHAY_DAUHU_XAO,Đậu hũ xào thập cẩm,MÓN CHAY
138,CHAY_DAUPHONG_RANG_001,CHAY_DAUPHONG_RANG,Đậu phộng rang muối,MÓN CHAY
139,CHAY_DAUPHONG_RIM_001,CHAY_DAUPHONG_RIM,Đậu phộng rim,MÓN CHAY
140,CHAY_DAUPHONG_RIM_002,CHAY_DAUPHONG_RIM,Đậu phộng rim tỏi ớt,MÓN CHAY
141,CHAY_DAUVE_XAO_001,CHAY_DAUVE_XAO,Đậu ve xào nấm,MÓN CHAY
142,CHAY_DUA_GOI_001,CHAY_DUA_GOI,Gỏi củ hũ dừa chay + mắm thái chay,MÓN CHAY
143,CHAY_DUA_KHAC_001,CHAY_DUA_KHAC,Sườn dừa chay,MÓN CHAY
144,CHAY_DUA_KHO_001,CHAY_DUA_KHO,Dừa kho,MÓN CHAY
145,CHAY_GA_RIM_001,CHAY_GA_RIM,Đùi gà chay rim,MÓN CHAY
146,CHAY_GA_XAO_001,CHAY_GA_XAO,Đùi gà chay xào sả,MÓN CHAY
147,CHAY_GOI_GOI_001,CHAY_GOI_GOI,Gỏi chay,MÓN CHAY
148,CHAY_GOI_GOI_002,CHAY_GOI_GOI,Gỏi mít non,MÓN CHAY
149,CHAY_GOI_GOI_003,CHAY_GOI_GOI,Gỏi ngó sen,MÓN CHAY
150,CHAY_GOI_GOI_004,CHAY_GOI_GOI,Gỏi rau má,MÓN CHAY
151,CHAY_GOI_GOI_005,CHAY_GOI_GOI,Gỏi xoài chay,MÓN CHAY
152,CHAY_HAMCHAY_RIM_001,CHAY_HAMCHAY_RIM,Ham chay rim,MÓN CHAY
153,CHAY_HAMCHAY_RIM_002,CHAY_HAMCHAY_RIM,Ham chay rim thơm,MÓN CHAY
154,CHAY_HEO_KHIA_001,CHAY_HEO_KHIA,Ruột heo khìa nước dừa,MÓN CHAY
155,CHAY_HEO_KHO_001,CHAY_HEO_KHO,Ruột non kho dưa chua,MÓN CHAY
156,CHAY_HEO_XAO_001,CHAY_HEO_XAO,Ruột non chay xào cải chua,MÓN CHAY
157,CHAY_HUTIEU_NUOC_001,CHAY_HUTIEU_NUOC,Hủ tiếu chay,MÓN CHAY
158,CHAY_HUTIEU_XAO_001,CHAY_HUTIEU_XAO,Hủ tiếu xào chay,MÓN CHAY
159,CHAY_KHOAI_CHIEN_001,CHAY_KHOAI_CHIEN,Khoai tây chiên,MÓN CHAY
160,CHAY_KHOAI_KHO_001,CHAY_KHOAI_KHO,Khoai môn kho chay,MÓN CHAY
161,CHAY_KHOAI_KHO_002,CHAY_KHOAI_KHO,Khoai tây kho chay,MÓN CHAY
162,CHAY_KHOAI_KHO_003,CHAY_KHOAI_KHO,Khoai tây kho chay + mắm thái chay,MÓN CHAY
163,CHAY_KHOAI_KHO_004,CHAY_KHOAI_KHO,Khoai môn kho cay,MÓN CHAY
164,CHAY_KHOAI_RIM_001,CHAY_KHOAI_RIM,Khoai tây rim mè,MÓN CHAY
165,CHAY_KHOQUA_KHAC_001,CHAY_KHOQUA_KHAC,Khổ qua dồn chay,MÓN CHAY
166,CHAY_KHOQUA_KHO_001,CHAY_KHOQUA_KHO,Khổ qua kho chay ,MÓN CHAY
167,CHAY_KHOQUA_KHO_002,CHAY_KHOQUA_KHO,Khổ qua kho nấm,MÓN CHAY
168,CHAY_KHOQUA_XAO_001,CHAY_KHOQUA_XAO,Khổ qua xào chay,MÓN CHAY
169,CHAY_KHOQUA_XAO_002,CHAY_KHOQUA_XAO,Khổ qua xào đậu hũ,MÓN CHAY
170,CHAY_KHOQUA_XAO_003,CHAY_KHOQUA_XAO,Khổ qua xào nấm,MÓN CHAY
171,CHAY_KHOQUA_XAO_004,CHAY_KHOQUA_XAO,Khổ qua xào + cá cơm chay,MÓN CHAY
172,CHAY_KHOQUA_XAO_005,CHAY_KHOQUA_XAO,Khổ qua xào trứng + đậu phộng rim,MÓN CHAY
173,CHAY_LAGU_HAM_001,CHAY_LAGU_HAM,Lagu chay,MÓN CHAY
174,CHAY_MAM_KHAC_001,CHAY_MAM_KHAC,Mắm thái chay,MÓN CHAY
175,CHAY_MANG_XAO_001,CHAY_MANG_XAO,Măng xào,MÓN CHAY
176,CHAY_MANG_XAO_002,CHAY_MANG_XAO,Măng xào nấm,MÓN CHAY
177,CHAY_MI_XAO_001,CHAY_MI_XAO,Mì ý chay,MÓN CHAY
178,CHAY_MI_XAO_002,CHAY_MI_XAO,Mì căn xào sả ớt,MÓN CHAY
179,CHAY_MI_XAO_003,CHAY_MI_XAO,Mì xào chay,MÓN CHAY
180,CHAY_MI_XAO_004,CHAY_MI_XAO,Mì căn xào,MÓN CHAY
181,CHAY_MIT_GOI_001,CHAY_MIT_GOI,Gỏi mít,MÓN CHAY
182,CHAY_MIT_KHO_001,CHAY_MIT_KHO,Mít non kho đậu phộng,MÓN CHAY
183,CHAY_MIT_KHO_002,CHAY_MIT_KHO,Mít non kho nước tương,MÓN CHAY
184,CHAY_MIT_KHO_003,CHAY_MIT_KHO,Mít non kho tộ,MÓN CHAY
185,CHAY_MIT_RIM_001,CHAY_MIT_RIM,Mít non rim sả,MÓN CHAY
186,CHAY_MUOP_XAO_001,CHAY_MUOP_XAO,Mướp xào cải ngọt,MÓN CHAY
187,CHAY_MUOP_XAO_002,CHAY_MUOP_XAO,Mướp xào đông cô,MÓN CHAY
188,CHAY_MUOP_XAO_003,CHAY_MUOP_XAO,Mướp xào nấm,MÓN CHAY
189,CHAY_MUOP_XAO_004,CHAY_MUOP_XAO,Mướp xào thập cẩm,MÓN CHAY
190,CHAY_NAM_CHIEN_001,CHAY_NAM_CHIEN,Nấm bào ngư chiên nước mắm,MÓN CHAY
191,CHAY_NAM_CHIEN_002,CHAY_NAM_CHIEN,Nấm bào ngư chiên giòn,MÓN CHAY
192,CHAY_NAM_CHIEN_003,CHAY_NAM_CHIEN,Nấm bào ngư chiên sả ớt,MÓN CHAY
193,CHAY_NAM_KHO_001,CHAY_NAM_KHO,Nấm kho bông cải,MÓN CHAY
194,CHAY_NAM_KHO_002,CHAY_NAM_KHO,Nấm kho củ quả,MÓN CHAY
195,CHAY_NAM_KHO_003,CHAY_NAM_KHO,Nấm kho đậu hũ,MÓN CHAY
196,CHAY_NAM_KHO_004,CHAY_NAM_KHO,Nấm kho măng,MÓN CHAY
197,CHAY_NAM_KHO_005,CHAY_NAM_KHO,Nấm kho thơm,MÓN CHAY
198,CHAY_NAM_KHO_006,CHAY_NAM_KHO,Nấm kho tiêu,MÓN CHAY
199,CHAY_NAM_KHO_007,CHAY_NAM_KHO,Nấm rơm kho tiêu,MÓN CHAY
200,CHAY_NAM_KHO_008,CHAY_NAM_KHO,Nấm kho dưa chua,MÓN CHAY
201,CHAY_NAM_XAO_001,CHAY_NAM_XAO,Nấm kim châm xào chay,MÓN CHAY
202,CHAY_NAM_XAO_002,CHAY_NAM_XAO,Nấm rơm xào mướp,MÓN CHAY
203,CHAY_NAM_XAO_003,CHAY_NAM_XAO,Nấm sốt cải thìa,MÓN CHAY
204,CHAY_NAM_XAO_004,CHAY_NAM_XAO,Nấm xào bắp non,MÓN CHAY
205,CHAY_NAM_XAO_005,CHAY_NAM_XAO,Nấm xào bông cải,MÓN CHAY
206,CHAY_NAM_XAO_006,CHAY_NAM_XAO,Nấm xào chua ngọt,MÓN CHAY
207,CHAY_NAM_XAO_007,CHAY_NAM_XAO,Nấm xào măng,MÓN CHAY
208,CHAY_NAM_XAO_008,CHAY_NAM_XAO,Nấm xào mướp,MÓN CHAY
209,CHAY_NAM_XAO_009,CHAY_NAM_XAO,Nấm xào rau củ,MÓN CHAY
210,CHAY_NAM_XAO_010,CHAY_NAM_XAO,Nấm xào sả ớt,MÓN CHAY
211,CHAY_NAM_XAO_011,CHAY_NAM_XAO,Nấm xào thập cẩm,MÓN CHAY
212,CHAY_NAM_XAO_012,CHAY_NAM_XAO,Nấm rơm xào đậu ve,MÓN CHAY
213,CHAY_NAM_XAO_013,CHAY_NAM_XAO,Nấm bào ngư xào mướp,MÓN CHAY
214,CHAY_NAM_XAO_014,CHAY_NAM_XAO,Nui xào chay,MÓN CHAY
215,CHAY_PHO_NUOC_001,CHAY_PHO_NUOC,Phở bò chay,MÓN CHAY
216,CHAY_RAU_GOI_001,CHAY_RAU_GOI,Gỏi rau càng cua + đậu phông rim,MÓN CHAY
217,CHAY_RAUCU_KHO_001,CHAY_RAUCU_KHO,Rau củ kho thập cẩm,MÓN CHAY
218,CHAY_RAUCU_KHO_002,CHAY_RAUCU_KHO,Rau củ kho tương hột,MÓN CHAY
219,CHAY_RAUCU_KHO_003,CHAY_RAUCU_KHO,Củ quả kho chay,MÓN CHAY
220,CHAY_RAUCU_KHO_004,CHAY_RAUCU_KHO,Củ quả kho nấm,MÓN CHAY
221,CHAY_RAUCU_KHO_005,CHAY_RAUCU_KHO,Củ quả kho thập cẩm,MÓN CHAY
222,CHAY_SUON_RIM_001,CHAY_SUON_RIM,Sườn chay rim,MÓN CHAY
223,CHAY_SUON_RIM_002,CHAY_SUON_RIM,Sườn dừa rim,MÓN CHAY
224,CHAY_SUON_RIM_003,CHAY_SUON_RIM,Sườn non chay rim,MÓN CHAY
225,CHAY_SUON_RIM_004,CHAY_SUON_RIM,Sườn non chay ram sả,MÓN CHAY
226,CHAY_TOM_RIM_001,CHAY_TOM_RIM,Tôm chay rim,MÓN CHAY
227,CHAY_TOM_XAO_001,CHAY_TOM_XAO,Tôm chay xào thập cẩm,MÓN CHAY
228,CHAY_THOM_OM_001,CHAY_THOM_OM,Thơm om nấm,MÓN CHAY
229,MONMAN_BO_GOI_001,MONMAN_BO_GOI,Gỏi bò,MÓN MẶN
230,MONMAN_BO_GOI_002,MONMAN_BO_GOI,Bò bóp thấu,MÓN MẶN
231,MONMAN_BO_GOI_003,MONMAN_BO_GOI,Gỏi bò chua cay,MÓN MẶN
232,MONMAN_BO_GOI_004,MONMAN_BO_GOI,Gỏi bò rau càng cua,MÓN MẶN
233,MONMAN_BO_GOI_005,MONMAN_BO_GOI,Gỏi bò tứ xuyên,MÓN MẶN
234,MONMAN_BO_GOI_006,MONMAN_BO_GOI,Salad bò,MÓN MẶN
235,MONMAN_BO_HAM_001,MONMAN_BO_HAM,Bò hầm tiêu xanh,MÓN MẶN
236,MONMAN_BO_HAM_002,MONMAN_BO_HAM,Bò lagu,MÓN MẶN
237,MONMAN_BO_KHO_001,MONMAN_BO_KHO,Bò kho dưa chua,MÓN MẶN
238,MONMAN_BO_KHO_002,MONMAN_BO_KHO,Bò kho gừng,MÓN MẶN
239,MONMAN_BO_RIM_001,MONMAN_BO_RIM,Bò viên rim mắm,MÓN MẶN
240,MONMAN_BO_SOT_001,MONMAN_BO_SOT,Bò viên sốt cà,MÓN MẶN
241,MONMAN_BO_SOT_002,MONMAN_BO_SOT,Bò viên sốt chua ngọt,MÓN MẶN
242,MONMAN_BO_SOT_003,MONMAN_BO_SOT,Bò viên sốt hành tây,MÓN MẶN
243,MONMAN_BO_XAO_001,MONMAN_BO_XAO,Bò viên xào hành tây,MÓN MẶN
244,MONMAN_BO_XAO_002,MONMAN_BO_XAO,Bò lúc lắc,MÓN MẶN
245,MONMAN_BO_XAO_003,MONMAN_BO_XAO,Bò xào bắp non,MÓN MẶN
246,MONMAN_BO_XAO_004,MONMAN_BO_XAO,Bò xào bông cải,MÓN MẶN
247,MONMAN_BO_XAO_005,MONMAN_BO_XAO,Bò xào bông hẹ,MÓN MẶN
248,MONMAN_BO_XAO_006,MONMAN_BO_XAO,Bò xào chua ngọt,MÓN MẶN
249,MONMAN_BO_XAO_007,MONMAN_BO_XAO,Bò xào đậu cove,MÓN MẶN
250,MONMAN_BO_XAO_008,MONMAN_BO_XAO,Bò xào đậu rồng,MÓN MẶN
251,MONMAN_BO_XAO_009,MONMAN_BO_XAO,Bò xào đậu ve,MÓN MẶN
252,MONMAN_BO_XAO_010,MONMAN_BO_XAO,Bò xào hành cần,MÓN MẶN
253,MONMAN_BO_XAO_011,MONMAN_BO_XAO,Bò xào khổ qua,MÓN MẶN
254,MONMAN_BO_XAO_012,MONMAN_BO_XAO,Bò xào khoai tây,MÓN MẶN
255,MONMAN_BO_XAO_013,MONMAN_BO_XAO,Bò xào lá lốt,MÓN MẶN
256,MONMAN_BO_XAO_014,MONMAN_BO_XAO,Bò xào lăn,MÓN MẶN
257,MONMAN_BO_XAO_015,MONMAN_BO_XAO,Bò xào nấm,MÓN MẶN
258,MONMAN_BO_XAO_016,MONMAN_BO_XAO,Bò xào ngũ sắc,MÓN MẶN
259,MONMAN_BO_XAO_017,MONMAN_BO_XAO,Bò xào ớt chuông,MÓN MẶN
260,MONMAN_BO_XAO_018,MONMAN_BO_XAO,Bò xào rau củ,MÓN MẶN
261,MONMAN_BO_XAO_019,MONMAN_BO_XAO,Bò xào sả ớt,MÓN MẶN
262,MONMAN_BO_XAO_020,MONMAN_BO_XAO,Bò xào su hào,MÓN MẶN
263,MONMAN_BO_XAO_021,MONMAN_BO_XAO,Bò xào thập cẩm,MÓN MẶN
264,MONMAN_BO_XAO_022,MONMAN_BO_XAO,Bò xào thiên lý,MÓN MẶN
265,MONMAN_BO_XAO_023,MONMAN_BO_XAO,Bò xào tứ xuyên,MÓN MẶN
266,MONMAN_BO_XAO_024,MONMAN_BO_XAO,Nạm bò xào hành tây,MÓN MẶN
267,MONMAN_BO_XAO_025,MONMAN_BO_XAO,Nạm bò xào sả ớt,MÓN MẶN
268,MONMAN_BO_XAO_026,MONMAN_BO_XAO,Nạm bò xào sa tế,MÓN MẶN
269,MONMAN_BO_XAO_027,MONMAN_BO_XAO,Thịt bò xào bông cải,MÓN MẶN
