ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12264,Tôm rim hành lá,Tôm rim hành lá size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12265,Tôm rim hành lá,Tôm rim hành lá size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12266,Sườn non kho dưa,Sườn non kho dưa chua,Sườn non tươi,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12267,Thịt xào sả ớt,Thịt nạc xào bông cải,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12268,Thịt xào sả ớt,Thịt vai xào sả ớt,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12269,Nui thập cẩm,Nui thập cẩm,Nui 10kg/bao,Thịt heo nạc vai,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12270,Sườn non sốt chua ngọt,Sườn non sốt chua ngọt,Sườn non tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12271,Nấm xào chua ngọt,Nấm xào chua ngọt đùi gà dưa leo,Nấm đùi gà,Dưa leo,Cà chua,Cần tàu,,,,,,,,,,,,,,,,,,,,,,,,,,
12272,Nấm xào chua ngọt,Nấm xào chua ngọt đùi gà,Nấm đùi gà,Dưa leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12273,Phở gà Hà Nội,Phở gà Hà Nội đùi phi lê,Phở,Đùi góc tư tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12274,Nui nấu sườn,Nui nấu sườn,Nui 10kg/bao,Thịt heo nạc vai,Sườn non tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12275,Nui tái bò viên,Nui tái bò viên,Nui 10kg/bao,Bò tái,Bò viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12276,Thịt kho củ đậu,Thịt kho củ đậu,Thịt heo vai tươi,Củ đậu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12277,Vịt kho gừng,Vịt kho gừng,Vịt nguyên con không đầu không chân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12278,Sườn non kho đậu hũ,Sườn non kho đậu hũ,Sườn non tươi,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12279,Trứng chiên tôm hẹ,Trứng chiên tôm hẹ,Trứng gà 300 quả/cây,Tôm lột,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12280,Thịt kho quẹt,Thịt kho quẹt,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12281,Trứng cút sốt cà chua,Trứng cút sốt cà chua,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12282,Phở bò,Phở bò tái viên xương,Phở,Bò tái,Bò viên,Xương ống bò,,,,,,,,,,,,,,,,,,,,,,,,,,
12283,Phở bò,Phở bò tái,Phở,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12284,Phở bò,Phở bò tái nạm,Phở,Bò tái,Bò nạm,Xương ống bò,,,,,,,,,,,,,,,,,,,,,,,,,,
12285,Phở bò,Phở bò tái viên,Phở,Bò tái,Bò viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12286,Phở bò,Phở bò tái nạm viên,Phở,Bò tái,Bò nạm,Bò viên,,,,,,,,,,,,,,,,,,,,,,,,,,
12287,Mực xào cay,Mực xào cay,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12288,Mực xào cay,Mực xào cay ức gà,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12289,Thịt kho nấm,Thịt kho nấm,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12290,Trứng chưng nấm,Trứng chưng nấm mèo thịt,Trứng gà 300 quả/cây,Nấm mèo,Thịt xay,Miến lọn,,,,,,,,,,,,,,,,,,,,,,,,,,
12291,Trứng chưng nấm,Trứng chưng nấm thịt xay,Trứng gà 300 quả/cây,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292,Trứng chưng nấm,Trứng chưng nấm mèo,Trứng gà 300 quả/cây,Nấm mèo,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12293,Nấm sốt cải thìa,Nấm sốt cải thìa đùi gà,Nấm đùi gà,Cải thìa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12294,Nấm sốt cải thìa,Nấm sốt cải thìa đông cô,Nấm đông cô,Cải thìa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12295,Nấm sốt cải thìa,Nấm sốt cải thìa linh chi,Nấm linh chi trắng đen,Nấm đùi gà,Cải thìa,,,,,,,,,,,,,,,,,,,,,,,,,,,
12296,Mực chiên giòn,Mực chiên giòn,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12297,Mướp xào nấm,Mướp xào nấm,Mướp,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12298,Ức gà sốt chua ngọt,Ức gà sốt chua ngọt,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12299,Ức gà sốt chua ngọt,Ức gà sốt chua ngọt phi lê,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12300,Tôm sốt chua ngọt,Tôm sốt chua ngọt size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12301,Tôm sốt chua ngọt,Tôm sốt chua ngọt size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12302,Su su xào cà rốt,Su su xào cà rốt,Su su,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12303,Nấm xào sả ớt,Nấm xào sả ớt đùi gà hành tây,Nấm đùi gà,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12304,Nấm xào sả ớt,Nấm xào sả ớt đùi gà,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12305,Nấm xào sả ớt,Nấm xào sả ớt bào ngư,Nấm bào ngư xám,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306,Thịt kho củ sắn,Thịt kho củ sắn,Thịt heo vai tươi,Củ sắn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307,Thịt kho kim chi,Thịt kho kim chi,Thịt heo vai tươi,Kim chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12308,Vịt kho chao,Vịt kho chao,Vịt nguyên con không đầu không chân,Chao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12309,Trứng sốt thịt cà chua,Trứng sốt thịt cà chua,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12310,Sườn dừa rim,Sườn dừa rim,Sườn dừa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311,Nhãn,Nhãn,Nhãn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312,Thịt kho mắm ruốc,Thịt kho mắm ruốc,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12313,Nui hoành thánh,Nui hoành thánh,Nui 10kg/bao,Lá gói hoành thánh,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12314,Tôm chay rim,Tôm chay rim,Tôm chay ngon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12315,Thịt luộc,Thịt luộc măng,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12316,Thịt luộc,Thịt luộc,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12317,Trứng cút rim mắm,Trứng cút rim mắm,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12318,Trứng cuộn rau củ,Trứng cuộn rau củ,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12319,Salad trứng,Salad trứng xà lách,Xà lách giòn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12320,Salad trứng,Salad trứng vịt,Trứng vịt 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12321,Salad trứng,Salad trứng xà lách bắp cải tím,Xà lách caron,Trứng gà 300 quả/cây,Bắp cải tím,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,
12322,Salad trứng,Salad trứng,Xà lách giòn,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12323,Nạm bò xào hành tây,Nạm bò xào hành tây,Bò nạm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324,Thịt cháy tỏi,Thịt cháy tỏi,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12325,Thịt kho tiêu,Thịt kho tiêu,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12326,Tôm rang lá chanh,Tôm rang lá chanh size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12327,Tôm rang lá chanh,Tôm rang lá chanh size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12328,Tôm rang lá chanh,Tôm rang lá chanh thịt trứng vịt,Thịt heo vai tươi,Trứng vịt 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12329,Tôm rang lá chanh,Tôm rang lá chanh thịt,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12330,Nui xào bò,Nui xào bò,Nui 10kg/bao,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12331,Nạm bò xào sa tế,Nạm bò xào sa tế,Bò nạm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12332,Nạm bò xào sa tế,Nạm bò xào sa tế tái,Bò tái,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12333,Ức gà kho tiêu,Ức gà kho tiêu,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12334,Tôm rim mặn,Tôm rim mặn size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12337,Trứng sốt thái,Trứng sốt thái thịt,Trứng gà 300 quả/cây,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12338,Trứng sốt thái,Trứng sốt thái chả lụa,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12339,Trứng sốt thái,Trứng sốt thái,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12340,Mướp xào tỏi,Mướp xào tỏi,Mướp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12341,Trứng chiên cà chua,Trứng chiên cà chua,Trứng gà 300 quả/cây,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12342,Sữa chua hộp,Sữa chua hộp,Sữa chua long thành 48 hộp/thùng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12343,Trứng sốt cà chua,Trứng sốt cà chua,Trứng vịt 300 quả/cây,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12344,Trứng sốt cà chua,Trứng vịt sốt cà chua vịt,Trứng vịt 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,Trứng sốt cà chua,Trứng gà sốt cà chua thịt xay,Trứng gà 300 quả/cây,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12346,Nấm xào bông cải,Nấm xào bông cải,Nấm đùi gà,Bông cải trắng,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12347,Tôm sốt me,Tôm sốt me size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12348,Tôm sốt me,Tôm sốt me size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12349,Thịt luộc mắm thái,Thịt luộc mắm thái,Thịt heo vai tươi,Mắm thái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12350,Thịt kho thơm,Thịt kho thơm,Thịt heo vai tươi,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12351,Tép rang hành lá,Tép rang,Tép,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12352,Tép rang hành lá,Tép rang hành lá,Tép,Hành lá,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12353,Tép rang hành lá,Tép rang hành lá ức gà,Tép,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12354,Nấm rơm kho tiêu,Nấm rơm kho tiêu,Nấm rơm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12355,Thịt chưng trứng muối,Thịt chưng trứng muối,Trứng gà 300 quả/cây,Trứng muối,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12356,Tôm rim hành,Tôm rim hành size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12357,Tôm rim hành,Tôm rim hành size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12358,Mực trứng sốt hành tây,Mực trứng sốt hành tây,Mực trứng,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12359,Mực trứng sốt hành tây,Mực trứng sốt,Mực trứng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12360,Thịt kho cùi dừa,Thịt kho cùi dừa,Thịt heo vai tươi,Cùi dừa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12361,Thịt kho cà pháo,Thịt kho cà pháo,Thịt heo vai tươi,Cà pháo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12362,Trà tắc,Trà tắc đường,Tắc,Đường cát trắng 50kg/bao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12363,Trà tắc,Trà tắc trà đào,Trà đào cozy hòa tan 16 gói/hộp,Hồng trà túi 1kg,Tắc,Đường cát trắng 50kg/bao,,,,,,,,,,,,,,,,,,,,,,,,,,
12364,Trứng sốt thịt,Trứng sốt thịt,Trứng gà 300 quả/cây,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12365,Ức gà chiên xù,Ức gà chiên xù,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12366,Trứng chiên thịt,Trứng chiên thịt,Trứng gà 300 quả/cây,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12367,Nấm kho tiêu,Nấm kho tiêu,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12369,Phá lấu,Phá lấu,Thịt đùi heo tươi,Tai mũi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12370,Sườn non kho tiêu,Sườn non kho tiêu,Sườn non tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12371,Thịt kho dưa chua,Thịt kho dưa chua,Thịt heo vai tươi,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12372,Thịt kho dưa chua,Thịt vai kho,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12373,Phở đùi gà,Phở đùi gà,Phở,Đùi tỏi gà đông size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12374,Nấm rơm xào đậu ve,Nấm rơm xào đậu ve,Nấm rơm,Đậu ve,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12375,Miến gà,Miến gà măng,Miến vàng,File không da tươi,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12376,Miến gà,Miến gà đùi tỏi,Miến vàng,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12377,Nui nấu bò,Nui nấu bò tái,Nui 10kg/bao,Bò tái,Bò viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12378,Nui nấu bò,Nui nấu bò giò heo,Nui 10kg/bao,Giò heo chặt khoanh,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12379,Thịt kho chuối xanh,Thịt kho chuối xanh,Thịt heo vai tươi,Chuối xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12380,Trứng chiên giá hẹ,Trứng chiên giá hẹ,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12381,Tôm cháy tỏi,Tôm cháy tỏi size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12382,Tôm cháy tỏi,Tôm cháy tỏi size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12383,Tôm cháy tỏi,Tôm cháy tỏi size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12384,Trứng cút sốt me,Trứng cút sốt me,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12386,Trứng cút sốt me,Trứng cút sốt me măng,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12387,Nui xương mọc,Nui xương mọc,Nui 10kg/bao,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388,Mướp xào đông cô,Mướp xào đông cô,Mướp,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12389,Sườn non chay rim,Sườn non chay rim,Sườn non chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12390,Trứng chiên rau củ,Trứng chiên rau củ,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12391,Salad dầu giấm,Salad dầu giấm,Xà lách caron,Bắp cải tím,Bắp cải trắng,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,
12392,Nấm kim châm xào chay,Nấm kim châm xào chay,Nấm kim châm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12393,Rau muống luộc,Rau muống luộc,Rau muống,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12394,Nạm bò xào sả ớt,Nạm bò xào sả ớt,Bò nạm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12395,Trứng cút sốt thịt,Trứng cút sốt thịt,Trứng cút,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12396,Tôm rim hành tây,Tôm rim hành tây,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12397,Tôm sốt bơ tỏi,Tôm sốt bơ tỏi,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12398,Mực xào hành tây,Mực xào hành tây,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12399,Thịt xá xíu,Thịt xá xíu tôm size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12400,Thịt xá xíu,Thịt xá xíu,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12401,Trứng chiên hẹ,Trứng chiên hẹ,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12402,Trứng opla,Trứng opla,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12403,Tôm sốt thái,Tôm sốt thái,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12404,Trứng chiên hành,Trứng chiên hành,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12405,Yakult,Yakult,Sữa chua yakult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12406,Nấm bào ngư chiên sả ớt,Nấm bào ngư chiên sả ớt,Nấm bào ngư xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12407,Thịt rim tôm,Thịt rim tôm,Thịt heo vai tươi,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12408,Thịt nướng mỡ hành,Thịt nướng mỡ hành,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12409,Nem nướng mỡ hành,Nem nướng mỡ hành hành lá,Nem nướng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12411,Mực xào sa tế,Mực xào sa tế,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12412,Sâm bổ lượng,Sâm bổ lượng,Nhãn nhục,Táo đỏ,Bo bo,Thạch dừa,Rong biển,,,,,,,,,,,,,,,,,,,,,,,,,
12413,Tôm rim trứng cút,Tôm rim trứng cút,Tôm thẻ size 100 con,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12414,Nấm kho măng,Nấm kho măng,Nấm đùi gà,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12415,Nấm rơm xào mướp,Nấm rơm xào mướp,Nấm rơm,Mướp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12416,Xíu mại tôm thịt,Xíu mại tôm thịt,Tôm lột,Thịt xay,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12417,Phở bò tái gân,Phở bò tái gân viên,Phở,Bò tái,Bò viên,Bò gân,,,,,,,,,,,,,,,,,,,,,,,,,,
12418,Phở bò tái gân,Phở bò tái gân xương,Phở,Bò tái,Bò gân,Xương ống bò,,,,,,,,,,,,,,,,,,,,,,,,,,
12419,Xíu mại sốt cà,Xíu mại sốt cà thịt,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12420,Xíu mại sốt cà,Xíu mại sốt cà mọc,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421,Xíu mại sốt cà,Xíu mại sốt cà mọc thịt,Mọc,Thịt xay,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12422,Tôm rim,Tôm rim ức gà,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12423,Tôm rim,Tôm rim size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12424,Tôm rim,Tôm rim size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12425,Nui xương,Nui xương thịt,Nui 10kg/bao,Xương heo,Thịt heo nạc vai,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,
12426,Nui xương,Nui xương mọc,Nui 10kg/bao,Xương heo,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12427,Thịt chiên xù,Thịt nạc chiên xù,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12428,Thịt chiên xù,Thịt vai chiên xù,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12429,Nấm kho thơm,Nấm kho thơm,Nấm đùi gà,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12430,Trứng chiên hành tây,Trứng chiên hành tây,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12431,Thịt kho tàu,Thịt kho tàu trứng cút,Thịt heo vai tươi,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12432,Thịt kho tàu,Thịt kho tàu,Thịt heo vai ngon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12433,Vịt hầm tiêu xanh,Vịt hầm tiêu xanh,Vịt nguyên con không đầu không chân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12434,Vịt kho măng,Vịt kho măng chả cá,Vịt nguyên con không đầu không chân,Chả cá nha trang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12435,Vịt kho măng,Vịt kho măng,Vịt nguyên con không đầu không chân,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436,Rau muống xào tỏi,Rau muống xào tỏi,Rau muống,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437,Thịt phá lấu,Thịt phá lấu đùi heo,Thịt đùi heo tươi,Tai mũi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12438,Thịt phá lấu,Thịt phá lấu tai mũi,Thịt heo vai tươi,Tai mũi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12439,Ổi,Ổi,Ổi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12440,Nui nấu giò heo,Nui nấu giò heo thịt,Nui 10kg/bao,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441,Nui nấu giò heo,Nui nấu giò heo mọc,Nui 10kg/bao,Giò heo chặt khoanh,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12442,Nấm bào ngư xào mướp,Nấm bào ngư xào mướp,Nấm bào ngư xám,Mướp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12443,Trứng cuộn,Trứng cuộn,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12444,Trứng cuộn,Trứng cuộn cá lóc,Cá lóc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12445,Sương sáo hạt é,Sương sáo hạt é,Sương sáo trắng,Sương sáo đen,Hạt é,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,,
12446,Salad trộn,Salad trộn,Xà lách caron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12447,Sườn non rim,Sườn non rim,Sườn non tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448,Sữa chua,Sữa chua,Sữa chua bịch,Sữa chua long thành 48 hộp/thùng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12449,Thịt chiên sốt sả tắc,Thịt chiên sốt sả tắc,Thịt heo vai ngon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450,Opla 2 trứng,Opla 2 trứng,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451,Thanh long,Thanh long,Thanh long (2 - 3 trái/kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12452,Rau dền luộc,Rau dền luộc,Rau dền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12453,Ức gà lúc lắc,Ức gà lúc lắc,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12454,Táo xanh,Táo xanh,Táo xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12455,Nấm kho dưa chua,Nấm kho dưa chua,Nấm đùi gà,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12456,Tép ram tóp mỡ,Tép ram tóp mỡ heo,Tép,Mỡ heo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12457,Tép ram tóp mỡ,Tép ram,Tép,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12458,Thịt chiên sả ớt,Thịt chiên sả ớt,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12459,Sườn non rim mật ong,Sườn non rim mật ong,Sườn non tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12460,Tôm chiên bột,Tôm chiên bột mực,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12461,Tôm chiên bột,Tôm chiên bột size 100,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12462,Tôm chiên bột,Tôm chiên bột size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
