ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12648,Đùi gà quay,Đùi gà quay,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12649,Giò heo hầm măng,Giò heo hầm măng,Giò heo chặt khoanh,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12650,Chả cá rim thơm,Chả cá rim thơm,Chả cá chiên,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12651,Chả cá rim thơm,Cá rim thơm,Cá sống,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12652,Chả lụa rim nước mắm,Chả lụa rim nước mắm,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12653,Chả lụa rim mắm,Chả lụa rim mắm,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12654,Gà xào sả ớt,Gà xào sả ớt,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12655,Dưa chua muối xổi,Dưa chua muối xổi,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12656,Chả cá nha trang rim mắm,Chả cá nha trang rim mắm,Chả cá nha trang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12657,Gỏi gà,Gỏi gà,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12658,Hủ tiếu mì hoành thánh,Hủ tiếu mì hoành thánh,Hủ tiếu tươi,Lá gói hoành thánh,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12659,Hủ tiếu mì hoành thánh,Hủ tiếu mì thịt bằm,Hủ tiếu tươi,Mì vàng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12660,Hủ tiếu mì hoành thánh,Hủ tiếu mì hoành thánh tôm,Hủ tiếu tươi,Lá gói hoành thánh,Thịt xay,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,
12661,Gà sốt chua ngọt,Gà sốt chua ngọt,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12662,Gỏi tai heo,Gỏi tai heo,Tai mũi,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12663,Cotlet ram mỡ hành,Sườn cotlet ram mỡ hành,Cotlet không chặt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12664,Cotlet ram mỡ hành,Sườn cotlet ram,Cotlet chặt (1kg/11 miếng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12665,Cotlet ram mỡ hành,Sườn cotlet đặc biệt,Cotlet chặt (1kg/13 miếng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12666,Mì cay,Mì cay,Mì hàn quốc,Bò tái,Cá viên 1000gr/gói,Thanh cua,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,
12667,Hải sản chiên giòn,Tôm thẻ size 100 chiên giòn,Mực lá tươi,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12668,Hải sản chiên giòn,Tôm thẻ size 80 chiên giòn,Mực lá tươi,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12669,Chả lụa kho tiêu,Chả lụa kho tiêu,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12670,Chạo thịt rim tỏi ớt,Chạo thịt rim tỏi ớt,Thịt xay,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12671,Đùi gà sốt chua ngọt,Đùi gà sốt chua ngọt,Đùi tỏi gà đông size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12672,Lạp xưởng,Lạp xưởng,Lạp xưởng khô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12673,Gà kho thơm,Gà kho thơm,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12674,Chả chiên kho tiêu,Chả chiên kho tiêu,Chả chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12675,Chả lụa rim trúng cút,Chả lụa rim trúng cút,Chả lụa,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12676,Đùi gà nướng,Đùi gà nướng,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12677,Hủ tiếu bò kho bánh mì,Hủ tiếu bò kho bánh mì,Hủ tiếu tươi,Bánh mì giòn,Bò nạm,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,
12678,Hủ tiếu hoành thánh,Hủ tiếu hoành thánh,Hủ tiếu tươi,Thịt heo nạc vai,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12679,Hủ tiếu hoành thánh,Hủ tiếu hoành thánh thịt,Hủ tiếu tươi,Thịt heo vai tươi,Lá gói hoành thánh,,,,,,,,,,,,,,,,,,,,,,,,,,,
